name,address,origin,category1,category2,category3,file,url,area,count,lat,lon
岡本公民館,定友町１０－２－２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.91384,136.244898
岡本児童館,定友町１０－１５,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.915164,136.245159
認定こども園岡本,岩本町５－２６,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.908397,136.245061
今立体育センター,岩本町１－９,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.90989,136.240677
越前市社会福祉センター,杉尾町１－２７－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.92,136.252736
社会福祉センター(夢広場）,杉尾町１－２７－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.919957,136.253589
パピルス館,新在家町８－４４,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.911397,136.243336
八ツ杉森林学習センター,別印町１９－１－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.887956,136.307974
越前市老人福祉センター今寿苑,杉尾町１－２４－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/031/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.92045,136.251844
南中山小学校,中津山町３８－１３－２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/032/aedzidoutaigaisikizyozaidouki.html,南中山,1,35.929642,136.247069
南越中学校,野岡町２８－４,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/033/aedzidoutaigaisikizyozaidouki.html,南中山,1,35.926095,136.249679
南中山公民館,西庄境町２１－７－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/034/aedzidoutaigaisikizyozaidouki.html,南中山,1,35.929154,136.248109
南中山児童館,西庄境町２１－７－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/035/aedzidoutaigaisikizyozaidouki.html,南中山,1,35.92925,136.248255
認定こども園南中山,中津山町４１－１３－２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南中山,1,35.929618,136.246085
服間小学校,藤木町１２－１１,,,,,,,服間,,35.935436,136.265032
服間公民館,藤木町１２－３９－１,,,,,,,服間,,35.93473,136.263829
服間児童館,藤木町１２－４３,,,,,,,服間,,35.934603,136.263621
認定こども園服間,藤木町１２－３４,,,,,,,服間,,35.935542,136.264013
健康増進課,府中一丁目１３－７,,,,,,,東,,35.903979,136.168857
